date,instrument,position,score,strategy
2021-08-25,002942.SZ,0.2,0.03340380549682875,size_lowvol
2021-08-25,603095.SH,0.2,0.03932346723044397,size_lowvol
2021-08-25,002718.SZ,0.2,0.0427061310782241,size_lowvol
2021-08-25,603530.SH,0.2,0.05644820295983086,size_lowvol
2021-08-25,002789.SZ,0.2,0.05687103594080338,size_lowvol
2023-04-21,003041.SZ,0.2,0.03096234309623431,size_lowvol
2023-04-21,001216.SZ,0.2,0.05878661087866109,size_lowvol
2023-04-21,605288.SH,0.2,0.06338912133891213,size_lowvol
2023-04-21,605365.SH,0.2,0.0698744769874477,size_lowvol
2023-04-21,605005.SH,0.2,0.07489539748953974,size_lowvol
2024-12-16,001278.SZ,0.2,0.03505376344086021,size_lowvol
2024-12-16,001366.SZ,0.2,0.055053763440860215,size_lowvol
2024-12-16,001367.SZ,0.2,0.060430107526881716,size_lowvol
2024-12-16,001299.SZ,0.2,0.07010752688172042,size_lowvol
2024-12-16,001266.SZ,0.2,0.07268817204301076,size_lowvol
