date,instrument,position,score,strategy
2021-08-25,603949.SH,0.2,0.03128964059196617,size_mom20
2021-08-25,603992.SH,0.2,0.034249471458773786,size_mom20
2021-08-25,002943.SZ,0.2,0.03826638477801268,size_mom20
2021-08-25,601068.SH,0.2,0.06490486257928119,size_mom20
2021-08-25,002789.SZ,0.2,0.07019027484143762,size_mom20
2023-04-21,603048.SH,0.2,0.02845188284518828,size_mom20
2023-04-21,605398.SH,0.2,0.0610878661087866,size_mom20
2023-04-21,003001.SZ,0.2,0.06569037656903766,size_mom20
2023-04-21,605298.SH,0.2,0.06694560669456066,size_mom20
2023-04-21,605588.SH,0.2,0.07384937238493725,size_mom20
2024-12-16,603272.SH,0.2,0.01010752688172043,size_mom20
2024-12-16,605069.SH,0.2,0.03612903225806451,size_mom20
2024-12-16,002629.SZ,0.2,0.04666666666666667,size_mom20
2024-12-16,001306.SZ,0.2,0.05634408602150537,size_mom20
2024-12-16,000820.SZ,0.2,0.06709677419354838,size_mom20
