date,instrument,position,score,strategy
2021-08-25,002809.SZ,0.2,0.13378839590443686,balanced
2021-08-25,002789.SZ,0.2,0.17372013651877133,balanced
2021-08-25,603095.SH,0.2,0.17781569965870306,balanced
2021-08-25,603949.SH,0.2,0.18668941979522186,balanced
2021-08-25,603356.SH,0.2,0.19368600682593856,balanced
2023-04-21,003041.SZ,0.2,0.10829383886255924,balanced
2023-04-21,603230.SH,0.2,0.15296208530805688,balanced
2023-04-21,605365.SH,0.2,0.16492890995260664,balanced
2023-04-21,605298.SH,0.2,0.1887440758293839,balanced
2023-04-21,605177.SH,0.2,0.19016587677725116,balanced
2024-12-16,603230.SH,0.2,0.1442583732057416,balanced
2024-12-16,001296.SZ,0.2,0.15299043062200957,balanced
2024-12-16,603190.SH,0.2,0.1602870813397129,balanced
2024-12-16,003023.SZ,0.2,0.16327751196172247,balanced
2024-12-16,001299.SZ,0.2,0.1779904306220096,balanced
