date,instrument,position,score,strategy
2021-08-25,600561.SH,0.2,0.033243967828418236,size_value
2021-08-25,601068.SH,0.2,0.071313672922252,size_value
2021-08-25,002494.SZ,0.2,0.08042895442359249,size_value
2021-08-25,603332.SH,0.2,0.08257372654155495,size_value
2021-08-25,002718.SZ,0.2,0.10563002680965147,size_value
2023-04-21,605100.SH,0.2,0.10193905817174514,size_value
2023-04-21,001296.SZ,0.2,0.10803324099722991,size_value
2023-04-21,603511.SH,0.2,0.11578947368421053,size_value
2023-04-21,605180.SH,0.2,0.13240997229916898,size_value
2023-04-21,002718.SZ,0.2,0.15734072022160664,size_value
2024-12-16,605069.SH,0.2,0.0967741935483871,size_value
2024-12-16,002798.SZ,0.2,0.09970674486803519,size_value
2024-12-16,002887.SZ,0.2,0.118475073313783,size_value
2024-12-16,003011.SZ,0.2,0.11964809384164223,size_value
2024-12-16,605303.SH,0.2,0.13255131964809386,size_value
